 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)NII[6548A]	 #6)EW_NII[6548A]	 #7)NII[6584A]	 #8)EW_NII[6584A]	 #9)SII[6716A]	 #10)EW_SII[6716A]	 #11)SII[6731A]	#12)EW_SII[6731A]	 #13)OI[6300A]	 #14)EW_OI[6300A]	 #15)OIII[4959A]	#16)EW_OIII[4959A]	#17)OIII[5007A]	#18)EW_OIII[5007A]	#19)Ha[6563A]	#20)EW_Ha[6563A]	#21)Hb[4861A]	#22)EW_Hb[4861A]	#23)HeII[4686A]	#24)EW_HeII[4686A]
                   11 -3.5	0.0   7.0000000000000000        1.5810032064676391E+036   9.7239460886019008E-002   4.6658712503164441E+036  0.28906951352630095        1.3302484168473463E+037  0.89221314872788138        9.0559236164053316E+036  0.61175543539524613        3.2057728812621724E+035   2.0872801842204549E-002   1.1115595921149810E+031   5.7428349607321976E-007   3.3491357472843131E+031   1.7963659070285869E-006   5.0808076160888680E+038   31.646165190142472        1.5203120955032275E+038   8.0025299998465425        6.0108065464780589E+026   2.8229657110819937E-011
                   12 -3.5	0.0   7.0999999046325684        1.5479912866759361E+035   1.2211894604848188E-002   4.5684461680371900E+035   3.6202691623333359E-002   1.4749201598868696E+036  0.12259541756131426        1.0040804513706552E+036   8.3077909084668125E-002   3.0253004487472985E+034   2.4383027664153629E-003   3.6708658338166609E+029   2.3307811720631301E-008   1.1060340871268634E+030   7.4064582857919174E-008   1.6702001247993346E+038   13.413892276049483        4.9518617567925464E+037   3.3009538918358716        1.1851368766072852E+026   6.8972007001587942E-012
                   13 -3.5	0.0   7.1999998092651367        2.9197807694648655E+034   3.1545354853963602E-003   8.6168839466878034E+034   9.4251071961793872E-003   2.8271590642102648E+035   3.1232024929525457E-002   1.9246432630676209E+035   2.1006777296631519E-002   4.2889426972261688E+033   4.3986829134523792E-004   2.2927159054330256E+028   1.5738612014264063E-009   6.9079668348170580E+028   5.0595060287286188E-009   5.1445837765704141E+037   5.8169951309118275        1.5393956104699854E+037   1.1524921631044087        1.9559162003348588E+025   1.1936480870549609E-012
                   14 -3.5	0.0   7.3000001907348633        4.5999390009405920E+033   5.8484121442107715E-004   1.3575382421678453E+034   1.7600550651255286E-003   4.5788042010228478E+034   5.9077745466057157E-003   3.1242952792563178E+034   3.9946010847938780E-003   5.3303051539847922E+032   6.1791566290643777E-005   1.3732577941490931E+025   9.6630229244834381E-013   4.1376340065317544E+025   3.0943029885171849E-012   1.8912636373345426E+037   2.5655018028287304        5.6461455906900978E+036  0.43860979155911567        1.2611073957422544E+024   7.7544931565210286E-014
                   15 -3.5	0.0   7.4000000953674316        6.7517114429780720E+032   1.0575996874490339E-004   1.9925713106305852E+033   3.1953345049523762E-004   6.9249058469841188E+033   1.0965206184002378E-003   4.7251312126851620E+033   7.4372938117502302E-004   6.0174691575625420E+031   8.4357375818659940E-006   5.2169163481576230E+023   4.3141016963723209E-014   1.5682448606990495E+024   1.3749646588394873E-013   9.1288037966554802E+036   1.5463431411948139        2.7441880764468705E+036  0.25418119142914253        3.2614736413632205E+023   2.3441904553431887E-014
                   16 -3.5	0.0   7.5000000000000000        8.5995505519478298E+031   1.4897986235481360E-005   2.5379072934092484E+032   4.4989812461944726E-005   8.8608575307630811E+032   1.5430832821405628E-004   6.0600436701902482E+032   1.0485197816321712E-004   5.3146632749231302E+030   8.2240563752038175E-007   9.2784568806738519E+022   8.6210196653789868E-015   2.7956046476621437E+023   2.7571867690685832E-014   4.0223119924217289E+036  0.75594467321419934        1.2574066527644815E+036  0.13293819195738876        8.3459495244968577E+022   6.7854482707257009E-015
                   17 -3.5	0.0   7.5999999046325684        1.1258053658023189E+031   2.2364544350387679E-006   3.3224871829863338E+031   6.7619289780847172E-006   1.1467356502313592E+032   2.2767492736544340E-005   7.8607378708713145E+031   1.5530096563451749E-005   4.5233825078380220E+029   7.9476856085584617E-008   2.6330755130209897E+022   2.7710595361334056E-015   7.9152259027230335E+022   8.8386789939610107E-015   1.8007910115265761E+036  0.39074284153805044        6.0320275200746747E+035   7.3480681856901944E-002   3.6514328155416909E+022   3.3735265352038717E-015
                   18 -3.5	0.0   7.6999998092651367        1.4028272644723948E+030   3.4382602218755040E-007   4.1400367663301041E+030   1.0403811359509197E-006   1.4093024209220164E+031   3.4384686615651954E-006   9.6828721585116998E+030   2.3552587316376829E-006   3.3496867700854135E+028   7.1759754667540955E-009   7.0958462690050315E+021   8.8938204968047889E-016   2.1330655316349047E+022   2.8342296261458757E-015   8.3368924316808015E+035  0.22444386761143373        3.0479244512613786E+035   4.4896274711076198E-002   2.3014640636588953E+022   2.5238145350272885E-015
                   19 -3.5	0.0   7.8000001907348633        1.2227903548258091E+029   3.1361488135726497E-008   3.6087101774405972E+029   9.5112684646503288E-008   1.2171721434788044E+030   3.1217702500802012E-007   8.3820839165296531E+029   2.1431157713169403E-007   1.5500724748479131E+027   3.5085875879610332E-010   1.4300525753137546E+021   1.9415801908372154E-016   4.2988471581631662E+021   6.2132462938859519E-016   3.4304571935912398E+035   9.6568272312518619E-002   1.4267635456601415E+035   2.2959160909534912E-002   1.8550345571142231E+022   2.2262603887410075E-015
                   20 -3.5	0.0   7.9000000953674316        6.1283740605275364E+027   1.7450371122824473E-009   1.8086114071891763E+028   5.3131532182758899E-009   6.1425014217674700E+028   1.7713217464644159E-008   4.2495727224923348E+028   1.2218860716124674E-008   3.8489765546490344E+025   9.8412527276512547E-012   1.6801392040255052E+020   2.6540477241206349E-017   5.0622695432001126E+020   8.5298747226793733E-017   1.2171532573278474E+035   3.7873883684535974E-002   5.9339688976946348E+034   1.1029606334552194E-002   2.1844658799350330E+022   3.0809837391931771E-015
