WL,F
4993.457519531249,4532097.0
4994.707519531249,4548077.5
4995.957519531249,4616344.0
4997.207519531249,4609730.0
4998.457519531249,4538926.0
4999.707519531249,4414804.0
5000.957519531249,4315060.5
5002.207519531249,4293865.5
5003.457519531249,4361834.0
5004.707519531249,4367846.0
5005.957519531249,4716752.5
5007.207519531249,8647502.0
5008.457519531249,14280018.0
5009.707519531249,11992025.0
5010.957519531249,6110683.5
5012.207519531249,4354083.0
5013.457519531249,4101832.2
5014.707519531249,4110392.0
5015.957519531249,4283287.0
5017.207519531249,4367692.5
5018.457519531249,4248962.0
5019.707519531249,4250945.0
5020.957519531249,4308996.0
5022.207519531249,4252849.0
5023.457519531249,4285350.5
5024.707519531249,4365553.0
5025.957519531249,4351567.5
5027.207519531249,4240389.5
5028.457519531249,4239381.0
5029.707519531249,4383096.5
5030.957519531249,4447728.0
5032.207519531249,4515218.0
5033.457519531249,4571205.5
5034.707519531249,4424906.0
5035.957519531249,4197881.5
5037.207519531249,4203919.5
5038.457519531249,4209464.5
5039.707519531249,4038185.2
5040.957519531249,3792794.0
5042.207519531249,3873055.8
5043.457519531249,4231150.0
5044.707519531249,4437946.0
5045.957519531249,4529400.0
5047.207519531249,4458783.0
5048.457519531249,4242960.0
5049.707519531249,4142251.2
5050.957519531249,4158150.2
5052.207519531249,4181348.5
5053.457519531249,4293733.0
5054.707519531249,4407321.0
5055.957519531249,4425888.0
5057.207519531249,4417851.0
5058.457519531249,4435470.0
5059.707519531249,4445576.0
5060.957519531249,4474127.0
5062.207519531249,4503993.0
5063.457519531249,4412005.0
5064.707519531249,4184230.0
5065.957519531249,4123142.5
5067.207519531249,4196223.0
5068.457519531249,4189884.8
5069.707519531249,4252629.5
5070.957519531249,4300187.0
5072.207519531249,4182195.8
5073.457519531249,4159881.8
5074.707519531249,4181211.2
5075.957519531249,4187549.0
5077.207519531249,4259108.5
5078.457519531249,4129379.0
5079.707519531249,3847637.5
5080.957519531249,3842110.5
5082.207519531249,4013095.5
5083.457519531249,4064869.8
5084.707519531249,4140863.8
5085.957519531249,4270271.0
5087.207519531249,4279321.0
5088.457519531249,4251468.0
5089.707519531249,4260994.5
5090.957519531249,4266199.5
5092.207519531249,4309210.5
5093.457519531249,4359423.5
5094.707519531249,4339962.5
5095.957519531249,4240800.5
5097.207519531249,4053950.2
5098.457519531249,3850288.8
5099.707519531249,3855846.5
5100.957519531249,4100448.5
5102.207519531249,4258168.0
5103.457519531249,4232837.0
5104.707519531249,4175981.5
5105.957519531249,4141561.2
5107.207519531249,4052101.2
5108.457519531249,4011079.2
5109.707519531249,4006417.2
5110.957519531249,4049514.0
5112.207519531249,4207053.0
5113.457519531249,4268995.5
5114.707519531249,4235059.5
5115.957519531249,4226825.5
5117.207519531249,4288190.5
5118.457519531249,4329049.5
5119.707519531249,4297084.0
5120.957519531249,4193097.0
5122.207519531249,4101280.2
5123.457519531249,4004165.5
5124.707519531249,3905446.8
5125.957519531249,3907506.5
5127.207519531249,3973247.0
5128.457519531249,3985983.2
5129.707519531249,3986003.5
5130.957519531249,4035256.2
5132.207519531249,4062733.0
5133.457519531249,4043756.2
5134.707519531249,4107433.5
5135.957519531249,4143727.5
5137.207519531249,4009187.0
5138.457519531249,3859649.0
5139.707519531249,3822671.0
5140.957519531249,3926055.5
5142.207519531249,3895839.5
5143.457519531249,3893700.2
5144.707519531249,4028137.5
5145.957519531249,4017961.8
5147.207519531249,3934806.5
5148.457519531249,3945153.2
5149.707519531249,4033714.5
5150.957519531249,4019329.5
5152.207519531249,3977908.0
5153.457519531249,3977799.8
5154.707519531249,3969869.0
5155.957519531249,4021189.0
5157.207519531249,4105084.0
5158.457519531249,4135717.8
5159.707519531249,4136259.5
5160.957519531249,4109825.5
5162.207519531249,3979319.0
5163.457519531249,3905830.5
5164.707519531249,3799866.8
5165.957519531249,3492304.5
5167.207519531249,3112185.2
