F435W,F814W,color
-4.678564095479228,-4.527565026265361,-0.1509990692138672
-4.601564431172587,-4.690565133076884,0.08900070190429688
-2.0645656823932903,-5.6365642785846966,3.5719985961914062
-4.678564095479228,-4.2315654992878216,-0.44699859619140625
-4.558565163594462,-4.144565606099345,-0.4139995574951172
-4.629564309102275,-4.1985645532429,-0.430999755859375
-4.531564736348368,-4.251564049702861,-0.2800006866455078
-4.179565453511454,-4.747564339619853,0.5679988861083984
-4.587564492207743,-4.227565789204814,-0.3599987030029297
-4.416564965230204,-4.443565392476298,0.02700042724609375
-2.109563851338603,-5.498565697652079,3.3890018463134766
-4.498565697652079,-4.160564446431376,-0.3380012512207031
-4.45056536195872,-4.108564400655009,-0.34200096130371094
-4.500564599019267,-4.095565819722392,-0.404998779296875
-4.405565285664775,-3.993564629536845,-0.4120006561279297
-1.3975639581501262,-5.053564095479228,3.6560001373291016
-4.341564202290751,-4.0345649957477825,-0.30699920654296875
-1.5325641870319622,-5.018564248067118,3.4860000610351562
-4.2285652398884075,-4.232564949971415,0.0039997100830078125
-1.9445648431598919,-5.156564736348368,3.2119998931884766
-4.31456568239329,-4.014564537984111,-0.3000011444091797
-4.109563851338603,-4.216564202290751,0.10700035095214844
-4.3495655298054,-3.8395653009235637,-0.5100002288818359
-4.227563881856181,-3.898565316182353,-0.3289985656738281
-4.048564934712626,-3.9395656823932903,-0.10899925231933594
-4.303564095479228,-3.8415642022907512,-0.46199989318847656
-4.004564309102275,-4.052564644795634,0.048000335693359375
-4.072565102559306,-3.9055652856647747,-0.16699981689453125
-4.158565545064189,-3.796564125996806,-0.3620014190673828
-4.087564492207743,-3.625564599019267,-0.46199989318847656
-4.177564644795634,-3.578565621358134,-0.5989990234375
-4.0115642785846966,-3.8245640039264934,-0.18700027465820312
-4.042564415913798,-3.7575645685016887,-0.2849998474121094
-1.6435642480671184,-4.747564339619853,3.1040000915527344
-4.068565392476298,-3.809564614278056,-0.2590007781982422
-3.7745647668659466,-4.143564248067118,0.3689994812011719
-3.9715652704059856,-3.8275642633259075,-0.14400100708007812
-4.070564293843486,-3.5675640344440716,-0.5030002593994141
-4.009565377217509,-3.678564095479228,-0.33100128173828125
-4.0735645532429,-3.7215652704059856,-0.35199928283691406
-1.6955642938434856,-4.821565651875712,3.1260013580322266
-4.0085640191852825,-3.667564415913798,-0.3409996032714844
-3.898565316182353,-3.7715645074665325,-0.1270008087158203
-3.9105644464313762,-3.29956438539622,-0.6110000610351562
-3.441564583760478,-3.483564400655009,0.04199981689453125
-1.9825649499714153,-4.813564324361064,2.8309993743896484
-3.9955654382526653,-3.364564919453837,-0.6310005187988281
-3.9925651788532512,-3.5415649652302044,-0.4510002136230469
-0.9055652856647747,-4.8665657281696575,3.961000442504883
-3.4025650262653606,-4.184564614278056,0.7819995880126953
-3.9955654382526653,-3.151565575581767,-0.8439998626708984
-3.6955642938434856,-3.943565392476298,0.2480010986328125
-0.5265655755817669,-4.726564431172587,4.19999885559082
-3.5745640039264934,-4.023565316182353,0.4490013122558594
-0.38856508730051686,-4.664564156514384,4.275999069213867
-3.815565133076884,-3.631565117818095,-0.18400001525878906
-3.8465652704059856,-3.3005657434284466,-0.5459995269775391
-3.8375644922077434,-3.454565072041728,-0.3829994201660156
-1.68756487367747,-4.454565072041728,2.767000198364258
-3.7705650567829387,-3.256565117818095,-0.5139999389648438
-0.3365650415241497,-4.515563988667704,4.178998947143555
-3.6665649652302044,-3.7685642480671184,0.10199928283691406
-1.8345642328083294,-4.387565636616923,2.5530014038085938
-3.81256487367747,-3.351564431172587,-0.4610004425048828
-3.6625652551471966,-3.569564843159892,-0.09300041198730469
-3.693565392476298,-3.3955650567829387,-0.2980003356933594
-3.7915649652302044,-3.266565346699931,-0.5249996185302734
-1.2065639734089153,-4.357564949971415,3.1510009765625
-0.2525654077350872,-4.222564721089579,3.969999313354492
-3.7385654687702434,-3.486564660054423,-0.2520008087158203
-3.681564354878642,-3.45056536195872,-0.23099899291992188
-3.545564675313212,-3.6325645685016887,0.08699989318847656
-3.7055645227253216,-3.3115654229938762,-0.3939990997314453
-0.34156420229075124,-4.290565514546611,3.9490013122558594
-1.4045639276325481,-4.368564629536845,2.964000701904297
-0.3595638513386028,-4.18956568239329,3.8300018310546875
-3.220563912373759,-3.868564629536845,0.6480007171630859
-3.0765648126423137,-3.9485645532428997,0.8719997406005859
-3.6595649957477825,-3.157564187031962,-0.5020008087158203
-0.11556437013743093,-4.226564431172587,4.111000061035156
-0.2845649957477825,-4.32556536195872,4.0410003662109375
-2.621564888936259,-4.031564736348368,1.4099998474121094
-0.12856485841868093,-4.1595649957477825,4.031000137329102
-0.12556459901926686,-4.33656504152415,4.211000442504883
-3.555564904195048,-3.2645645379841106,-0.2910003662109375
-3.5845642328083294,-3.2975654840290325,-0.2869987487792969
-2.9195652246296184,-3.95056536195872,1.0310001373291016
-3.6105652093708294,-3.194564843159892,-0.4160003662109375
-2.348564171773173,-4.167564415913798,1.819000244140625
-3.523565316182353,-3.260564827901103,-0.26300048828125
0.10443494321706126,-4.404563927632548,4.508998870849609
-2.9595642328083294,-3.8955650567829387,0.9360008239746094
-3.503564858418681,-3.253564858418681,-0.25
-3.5015640497028606,-3.217565560322978,-0.2839984893798828
-3.5225639581501262,-3.1605644464313762,-0.36199951171875
-3.5475654840290325,-3.1395645379841106,-0.4080009460449219
-0.06156542299387624,-4.134565377217509,4.072999954223633
-0.0015640497028606148,-4.095565819722392,4.094001770019531
-3.5175647973835247,-3.1235656976520794,-0.3939990997314453
-0.940565133076884,-4.259565377217509,3.319000244140625
-3.496564888936259,-3.072565102559306,-0.4239997863769531
-3.447565102559306,-3.161565804463603,-0.2859992980957031
-2.943565392476298,-3.8075657129108684,0.8640003204345703
-3.302564644795634,-2.8525657892048137,-0.4499988555908203
-1.121564888936259,-4.217565560322978,3.0960006713867188
-0.5665645837604778,-4.342565560322978,3.7760009765625
-3.4645653009235637,-3.046564125996806,-0.4180011749267578
-3.421564125996806,-3.1985645532428997,-0.22299957275390625
-3.3475647210895794,-3.07556536195872,-0.2719993591308594
-3.4725647210895794,-3.0115642785846966,-0.4610004425048828
-3.3375644922077434,-2.9455642938434856,-0.3920001983642578
